LOC,SKU,Field,01-Sep-20,02-Sep-20,03-Sep-20,04-Sep-20,05-Sep-20,06-Sep-20,07-Sep-20,08-Sep-20,09-Sep-20,10-Sep-20,11-Sep-20,12-Sep-20,13-Sep-20,14-Sep-20,15-Sep-20,16-Sep-20,17-Sep-20,18-Sep-20,19-Sep-20,20-Sep-20,21-Sep-20,22-Sep-20,23-Sep-20,24-Sep-20,25-Sep-20,26-Sep-20,27-Sep-20,28-Sep-20,29-Sep-20,30-Sep-20,01-Oct-20,02-Oct-20,03-Oct-20,04-Oct-20,05-Oct-20,06-Oct-20,07-Oct-20,08-Oct-20,09-Oct-20,10-Oct-20,11-Oct-20,12-Oct-20,13-Oct-20,14-Oct-20,15-Oct-20,16-Oct-20,17-Oct-20,18-Oct-20,19-Oct-20,20-Oct-20,21-Oct-20,22-Oct-20,23-Oct-20,24-Oct-20,25-Oct-20,26-Oct-20,27-Oct-20,28-Oct-20,29-Oct-20,30-Oct-20,31-Oct-20,01-Nov-20,02-Nov-20,03-Nov-20,04-Nov-20,05-Nov-20,06-Nov-20,07-Nov-20,08-Nov-20,09-Nov-20,10-Nov-20,11-Nov-20,12-Nov-20,13-Nov-20,14-Nov-20,15-Nov-20,16-Nov-20,17-Nov-20,18-Nov-20,19-Nov-20,20-Nov-20,21-Nov-20,22-Nov-20,23-Nov-20,24-Nov-20,25-Nov-20,26-Nov-20,27-Nov-20,28-Nov-20,29-Nov-20,30-Nov-20,01-Dec-20,02-Dec-20,03-Dec-20,04-Dec-20,05-Dec-20,06-Dec-20,07-Dec-20,08-Dec-20,09-Dec-20,10-Dec-20,11-Dec-20,12-Dec-20,13-Dec-20,14-Dec-20,15-Dec-20,16-Dec-20,17-Dec-20,18-Dec-20,19-Dec-20,20-Dec-20,21-Dec-20,22-Dec-20,23-Dec-20,24-Dec-20,25-Dec-20,26-Dec-20,27-Dec-20,28-Dec-20,29-Dec-20
Mother DC,1090013,Demand,125239,6328,7053,0,0,3730,8065,20479,4765,5727,0,0,3127,22390,19799,9010,0,0,5120,10438,28641,0,0,9141,4011,5607,0,0,3511,5497,35450,4198,5619,0,0,3471,5683,25459,3674,5356,0,0,3424,22051,23063,12270,0,0,8259,9709,42491,0,0,0,13399,4496,9385,0,0,6962,5953,46202,4443,9081,0,0,6705,5877,33744,4414,7608,0,0,5388,26119,27360,12369,0,0,8396,10299,36008,0,0,14763,6811,8596,0,0,5076,9237,43099,6607,8645,0,0,5189,9044,32302,5664,7410,0,0,4440,26488,21508,11115,0,0,6660,11637,19648,0,0,0,0,0,0,0,0
Mother DC,1090013,Safety Stock Target,295575,144947,148778,138702,138702,146017,155600,184994,155738,148931,153808,159538,167548,163081,131095,107827,102808,153451,159448,160161,145250,104334,109292,117411,140722,140241,139882,139882,139882,139758,163407,145711,157242,149215,149215,161014,169925,222508,186138,180890,173238,192380,198802,207318,175817,142870,135287,143791,209794,204342,203445,142744,142744,152322,160718,189782,189665,187127,187127,187127,184878,213687,186770,198092,185120,185120,197114,202248,245292,197087,190781,201002,210732,223012,215315,178002,146168,141694,203264,212702,213058,198345,146905,154318,167238,192294,190655,188961,188961,188961,188052,212697,181852,188292,175942,175942,185457,194668,209817,163671,155580,144994,144994,144994,138651,100811,70085,58376,63241,68990,62570,43662,0,0,0,0,0,0,0,0
Mother DC,1090013,Open Orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,268866,0,0,0,0,36005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mother DC,1090013,Planned Orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84588,0,0,0,0,0,0,97357,0,0,0,0,0,0,50325,0,0,0,0,0,63222,0,0,0,0,0,0,0,0,0,0,89678,0,0,0,0,0,0,90340,0,0,0,0,0,0,56167,0,0,0,0,0,55485,0,0,0,0,0,0,0,0,0,79200,0,0,0,0,0,0,47451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mother DC,1090013,Projected Inventory,-102674,-109002,-116055,-116055,-116055,-119785,-127850,-148329,-153094,-158821,-158821,-158821,-161948,-184338,-84137,175719,175719,175719,170599,160161,167525,167525,167525,158384,154373,148766,148766,148766,145255,139758,188896,184698,179079,179079,179079,175608,169925,241823,238149,232793,232793,232793,229369,207318,234580,222310,222310,222310,214051,204342,225073,225073,225073,225073,211674,207178,197793,197793,197793,190831,184878,228354,223911,214830,214830,214830,208125,202248,258844,254430,246822,246822,246822,241434,215315,244122,231753,231753,231753,223357,213058,232535,232535,232535,217772,210961,202365,202365,202365,197289,188052,224153,217546,208901,208901,208901,203712,194668,209817,204153,196743,196743,196743,192303,165815,144307,133192,133192,133192,126532,114895,95247,95247,95247,95247,95247,95247,95247,95247,95247
Mother DC,1090013,Planned Release,0,0,0,0,0,84588,0,0,0,0,0,0,97357,0,0,0,0,0,0,50325,0,0,0,0,0,63222,0,0,0,0,0,0,0,0,0,0,89678,0,0,0,0,0,0,90340,0,0,0,0,0,0,56167,0,0,0,0,0,55485,0,0,0,0,0,0,0,0,0,79200,0,0,0,0,0,0,47451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
